primaryTitle,startYear,endYear,duration,averageRating,rating_100,rating_category,numVotes,votes_normalized,genres,directors
"Drugs, Inc.",2010,2016,6,7.7,77.0,High,1473,-0.2772570300999497,"Crime, Documentary","David Herman, Tom Willis, Stefania Buonajuti, Nick Norman-Butler, Dan Murdoch, Andrew Parkin, Stuart Pender, Ben Reid, George Hughes, Victor Buhler, Marcy Cox, Krishna Govender, Southan Morris, Ralph Perring, Greg Scott, Des Daniels, Steve Allen, Becky Prosser, Roeland Doust, Sally Rose Griffiths, Dickon Le Marchant, Giovanni Ulleri"
Fog Hill of Five Elements,2020,2023,3,8.3,83.0,High,1471,-0.27727869578254427,"Action, Adventure, Animation",-
Lipstick on Your Collar,1993,1993,0,8.1,81.0,High,1466,-0.2773328599890306,"Comedy, Drama, Musical",Renny Rye
Small Sacrifices,1989,1989,0,7.6,76.0,High,1465,-0.27734369283032795,"Crime, Drama, History",David Greene
Hyperspace,2001,2001,0,8.3,83.0,High,1464,-0.2773545256716252,Documentary,"Luke Campbell, Jeremy Turner, Michael Lachmann"
Galapagos,2006,2006,0,8.2,82.0,High,1463,-0.2773653585129225,Documentary,-
Nodame kantâbire,2007,2010,3,8.1,81.0,High,1461,-0.27738702419551703,"Animation, Comedy, Drama","Kenichi Kasai, Kunihiko Ikuhara, Chiaki Kon"
Family Matter,2021,2024,3,8.0,80.0,High,1461,-0.27738702419551703,"Comedy, Drama, Family",Ahmed al-Gendy
The Mind of a Chef,2012,2017,5,8.0,80.0,High,1460,-0.27739785703681435,Documentary,"Michael Steed, Morgan Fallon, Anna Chai, Claudia Woloshin, Alex Braverman, Siobhan Walshe, Gillian Brown, Alexandra Chaden"
The Women of Brewster Place,1989,1989,0,7.7,77.0,High,1458,-0.2774195227194089,Drama,Donna Deitch
The Street,2006,2009,3,8.2,82.0,High,1457,-0.27743035556070617,Drama,"David Blair, Terry McDonough"
Stephen Hawking's Grand Design,2012,2012,0,8.3,83.0,High,1453,-0.2774736869258953,Documentary,"Dan Clifton, Matthew Huntley"
The Red Skelton Hour,1951,1971,20,8.1,81.0,High,1453,-0.2774736869258953,Comedy,"Seymour Berns, Bill Hobin, Howard A. Quinn, John Gaunt, Terry Kyne, Martin Rackin, Jack Donohue, Cecil Barker, Frank Bunetta, Ed Hiller"
The Little Rascals,1955,1955,0,8.0,80.0,High,1453,-0.2774736869258953,"Comedy, Family","Ray McCarey, Gordon Douglas, James W. Horne, Robert A. McGowan, Robert F. McGowan, Gus Meins, Fred C. Newmeyer, James Parrott, Nate Watt"
Insomniacs After School,2023,2023,0,7.9,79.0,High,1451,-0.27749535260848984,"Animation, Comedy, Drama","Yuki Ikeda, Taisuke Mamori, Rokô Ogiwara, Kazunari Araki, Kazuya Fujishiro, Daiki Handa, Fumihiro Matsui, Yasuyuki Shinozaki, Akira Toba, Kayona Yamada, Sôta Yokote"
Three Kingdoms,2010,2010,0,8.3,83.0,High,1450,-0.2775061854497871,"Drama, History, War",Xixi Gao
Kikoriki,2003,2012,9,7.7,77.0,High,1448,-0.2775278511323817,"Adventure, Animation, Comedy","Anatoliy Prokhorov, Denis Chernov, Aleksey Gorbunov, Konstantin Biryukov, Dzhangir Suleymanov, Natalia Mirzoyan, Oleg Musin, Roman Sokolov, Aleksandra Averyanova, Tae-Sik Shin, Ilya Maksimov, Andrey Kolpin, Anna Borisova, Aleksey Minchenok, Svetlana Mardagolimova, Mikhail Meschaninov, Frédéric Martin, Stéphane Mit, Yoshimichi Tamura, Geoffroy de Crécy, Lionel Allaix, Fabrice Fouquet, Joeri Christiaen, Sergey Gordeev, Jean-Luc Julien, Alla Yaroshenko, Artur Tolstobrov, Marco Allard, Dominique Debar, Olivier Derynck, Darina Shmidt, Marina Moshkova"
Neo Magazin,2013,2019,6,7.8,78.0,High,1446,-0.27754951681497625,"Comedy, News","J. Patrick Arbeiter, Sebastian Teitge, Philipp Kässbohrer, Nicolas Berse, Felix Stienz, Jan Böhmermann, Nicole Marburger, Nico Radtke, Constantin Timm"
Long Vacation,1996,1996,0,8.2,82.0,High,1445,-0.2775603496562735,"Drama, Music","Kôzô Nagayama, Masayuki Suzuki, Yuji Usui"
Rivo,2022,2023,1,8.3,83.0,High,1444,-0.2775711824975708,"Drama, Musical",Yahya Ismail
At Home with Amy Sedaris,2017,2020,3,8.0,80.0,High,1442,-0.2775928481801654,Comedy,"Bill Benz, Paul Dinello, Ryan McFaul, Paul Briganti, Peter Lauer, Matt Sohn, Edward Keaton, Anu Valia"
Drengene fra Angora,2004,2004,0,7.8,78.0,High,1441,-0.27760368102146266,"Comedy, Music, Sport",-
Zigosani u reketu,2018,2021,3,7.8,78.0,High,1438,-0.27763617954535447,"Comedy, Drama, Romance","Danilo Beckovic, Nebojsa Radosavljevic, Djordje Vojvodic, Srdjan Spasic, Nikola Djuricko, Miroslav Lekic, Nenad Pavlovic"
True to Love,2023,2023,0,7.6,76.0,High,1437,-0.2776470123866518,"Comedy, Romance",Tae-gon Lee
